alpha,epsilon,test_epsilon,tau,lambda,data_model_type,data_model_name,problem_type
0.50000000,0.60000000,0.60000000,0.00000000,-1.02272060,VanillaGaussian,VanillaGaussian,Logistic
0.50000000,0.00000000,0.60000000,0.00000000,0.04477271,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.00000000,0.60000000,0.00000000,0.01626676,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.60000000,0.60000000,0.00000000,-1.25169548,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.00000000,0.60000000,0.00000000,-0.82880854,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.60000000,0.60000000,0.00000000,-2.76076313,VanillaGaussian,VanillaGaussian,Logistic
0.40000000,0.00000000,0.60000000,0.00000000,0.04790289,VanillaGaussian,VanillaGaussian,Logistic
0.40000000,0.60000000,0.60000000,0.00000000,-0.99009897,VanillaGaussian,VanillaGaussian,Logistic
0.40000000,0.40000000,0.60000000,0.00000000,0.04800749,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.40000000,0.60000000,0.00000000,-0.99520006,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.40000000,0.60000000,0.00000000,-1.63013590,VanillaGaussian,VanillaGaussian,Logistic
10.00000000,0.20000000,0.60000000,0.00000000,-0.96544808,VanillaGaussian,VanillaGaussian,Logistic
2.00000000,0.20000000,0.60000000,0.00000000,0.01559177,VanillaGaussian,VanillaGaussian,Logistic
0.40000000,0.00000000,0.60000000,0.00000000,0.62477361,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.00000000,0.60000000,0.00000000,1.94791488,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.40000000,0.20000000,0.60000000,0.00000000,0.61107534,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.40000000,0.40000000,0.60000000,0.00000000,0.59591336,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.40000000,0.60000000,0.60000000,0.00000000,0.57925320,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.00000000,0.60000000,0.00000000,7.41212133,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.20000000,0.60000000,0.00000000,1.84272881,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.40000000,0.60000000,0.00000000,1.73093947,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
2.00000000,0.60000000,0.60000000,0.00000000,1.61257952,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.20000000,0.60000000,0.00000000,6.86500435,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.40000000,0.60000000,0.00000000,6.28807132,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
10.00000000,0.60000000,0.60000000,0.00000000,5.68192082,SourceCapacity,SourceCapacity_IDStudentPrior,Logistic
0.15850000,0.20000000,0.30000000,0.00000000,55.85294271,VanillaGaussian,VanillaGaussian,Logistic
0.15850000,0.00000000,0.30000000,0.00000000,-0.03563095,VanillaGaussian,VanillaGaussian,Logistic
